全国地方公共団体コード,都道府県名,市区町村名,代表緯度,代表経度,南海トラフ巨大地震想定震度
35502,山口県,阿武郡阿武町,34.5028,131.4706,震度4
36201,徳島県,徳島市,34.0658,134.5594,震度7
36202,徳島県,鳴門市,34.1722,134.6083,震度7
36203,徳島県,小松島市,34.0047,134.5889,震度7
36204,徳島県,阿南市,33.9189,134.6583,震度7
36205,徳島県,吉野川市,34.0667,134.3667,震度6強
36206,徳島県,阿波市,34.1103,134.2547,震度6強
36207,徳島県,美馬市,34.0617,134.1611,震度6弱
36208,徳島県,三好市,34.0286,133.8053,震度5強
36301,徳島県,名東郡佐那河内村,34.0131,134.4608,震度6強
36321,徳島県,名西郡石井町,34.0683,134.4447,震度6強
36322,徳島県,名西郡神山町,33.9806,134.3853,震度6弱
36341,徳島県,勝浦郡勝浦町,33.9406,134.5308,震度7
36342,徳島県,勝浦郡上勝町,33.9139,134.4258,震度6強
36368,徳島県,板野郡北島町,34.1200,134.5572,震度7
36383,徳島県,海部郡牟岐町,33.6806,134.4189,震度7
36387,徳島県,海部郡美波町,33.7317,134.5328,震度7
36388,徳島県,海部郡海陽町,33.6139,134.3542,震度7
37201,香川県,高松市,34.3403,134.0433,震度6強
37202,香川県,丸亀市,34.2883,133.7972,震度6強
37203,香川県,坂出市,34.3161,133.8569,震度6強
37204,香川県,善通寺市,34.2258,133.7844,震度6弱
37205,香川県,観音寺市,34.1286,133.6458,震度6弱
37206,香川県,さぬき市,34.3175,134.2333,震度6強
37207,香川県,東かがわ市,34.2464,134.3606,震度6強
37208,香川県,三豊市,34.1836,133.7297,震度6弱
37322,香川県,小豆郡土庄町,34.4889,134.1883,震度6弱
37324,香川県,小豆郡小豆島町,34.4481,134.2883,震度6弱
37341,香川県,木田郡三木町,34.2694,134.1378,震度6強
37364,香川県,香川郡直島町,34.4600,133.9961,震度6弱
37386,香川県,綾歌郡宇多津町,34.3061,133.8117,震度6強
37387,香川県,綾歌郡綾川町,34.2358,133.9786,震度6強
37403,香川県,仲多度郡琴平町,34.1889,133.8181,震度6弱
37404,香川県,仲多度郡多度津町,34.2717,133.7542,震度6弱
37406,香川県,仲多度郡まんのう町,34.1625,133.8683,震度6弱
38201,愛媛県,松山市,33.8417,132.7653,震度6弱
38202,愛媛県,今治市,34.0664,132.9978,震度6弱
38203,愛媛県,宇和島市,33.2233,132.5606,震度7
38204,愛媛県,八幡浜市,33.4628,132.5442,震度7
38205,愛媛県,新居浜市,33.9603,133.2831,震度6強
38206,愛媛県,西条市,33.9189,133.1819,震度6強
38207,愛媛県,大洲市,33.5089,132.5442,震度6強
38208,愛媛県,伊予市,33.7558,132.7042,震度6強
38209,愛媛県,四国中央市,33.9833,133.5500,震度6強
38210,愛媛県,西予市,33.3642,132.5222,震度7
38214,愛媛県,東温市,33.7917,132.8714,震度6弱
38357,愛媛県,越智郡上島町,34.2542,133.2047,震度6弱
38386,愛媛県,上浮穴郡久万高原町,33.6558,132.9003,震度6弱
38401,愛媛県,伊予郡松前町,33.7889,132.7119,震度6強
38402,愛媛県,伊予郡砥部町,33.7667,132.7917,震度6弱
38422,愛媛県,喜多郡内子町,33.5539,132.6517,震度6弱
38442,愛媛県,西宇和郡伊方町,33.4925,132.3556,震度7
38484,愛媛県,北宇和郡松野町,33.2281,132.7144,震度6強
38488,愛媛県,北宇和郡鬼北町,33.2667,132.6953,震度6強
38506,愛媛県,南宇和郡愛南町,32.9625,132.5606,震度7
39201,高知県,高知市,33.5597,133.5311,震度7
39202,高知県,室戸市,33.2908,134.1528,震度7
39203,高知県,安芸市,33.5036,133.9056,震度7
39204,高知県,南国市,33.5781,133.6425,震度7
39205,高知県,土佐市,33.4967,133.4286,震度7
39206,高知県,須崎市,33.3928,133.2847,震度7
39208,高知県,宿毛市,32.9422,132.7289,震度7
39209,高知県,土佐清水市,32.7825,132.9567,震度7
39210,高知県,四万十市,32.9914,132.9328,震度7
39211,高知県,香美市,33.6053,133.6936,震度7
39212,高知県,香南市,33.5647,133.7028,震度7
39301,高知県,安芸郡東洋町,33.5036,134.2831,震度7
39302,高知県,安芸郡奈半利町,33.4258,134.0189,震度7
39303,高知県,安芸郡田野町,33.4319,134.0083,震度7
39304,高知県,安芸郡安田町,33.4475,133.9936,震度7
39305,高知県,安芸郡北川村,33.5186,134.0411,震度7
39306,高知県,安芸郡馬路村,33.5789,134.0108,震度6強
39307,高知県,安芸郡芸西村,33.5336,133.8058,震度7
39341,高知県,長岡郡本山町,33.7558,133.5936,震度6弱
39342,高知県,長岡郡大豊町,33.7583,133.6625,震度6弱
39363,高知県,土佐郡土佐町,33.7083,133.5417,震度6強
39364,高知県,土佐郡大川村,33.7725,133.4750,震度6弱
39386,高知県,吾川郡いの町,33.5489,133.4286,震度7
39387,高知県,吾川郡仁淀川町,33.5947,133.0131,震度6強
39401,高知県,高岡郡中土佐町,33.3283,133.2289,震度7
39402,高知県,高岡郡佐川町,33.5008,133.2847,震度7
39403,高知県,高岡郡越知町,33.5147,133.2344,震度7
39405,高知県,高岡郡梼原町,33.3939,132.9231,震度6強
39410,高知県,高岡郡日高村,33.5378,133.3853,震度7
39411,高知県,高岡郡津野町,33.4319,133.0803,震度7
39424,高知県,高岡郡四万十町,33.2108,133.1361,震度7
39463,高知県,幡多郡大月町,32.8364,132.7083,震度7
39464,高知県,幡多郡三原村,32.8942,132.8406,震度7
39468,高知県,幡多郡黒潮町,33.0289,133.0036,震度7
40101,福岡県,北九州市門司区,33.9486,130.9614,震度4
40102,福岡県,北九州市若松区,33.9056,130.8089,震度4
40103,福岡県,北九州市小倉北区,33.8833,130.8750,震度4
40104,福岡県,北九州市小倉南区,33.8322,130.8856,震度4
40105,福岡県,北九州市八幡東区,33.8656,130.8094,震度4
40106,福岡県,北九州市八幡西区,33.8617,130.7308,震度4
40107,福岡県,北九州市戸畑区,33.8942,130.8189,震度4
40131,福岡県,福岡市東区,33.6458,130.4286,震度4
40132,福岡県,福岡市博多区,33.5903,130.4017,震度4
40133,福岡県,福岡市中央区,33.5889,130.3958,震度4
40134,福岡県,福岡市南区,33.5614,130.4258,震度4
40135,福岡県,福岡市西区,33.5822,130.3189,震度4
40136,福岡県,福岡市城南区,33.5517,130.3703,震度4
40137,福岡県,福岡市早良区,33.5806,130.3522,震度4
41201,佐賀県,佐賀市,33.2633,130.3008,震度4
42201,長崎県,長崎市,32.7503,129.8778,震度4
43101,熊本県,熊本市中央区,32.8031,130.7078,震度5強
43102,熊本県,熊本市東区,32.8017,130.7561,震度5強
43103,熊本県,熊本市西区,32.7900,130.6728,震度5強
43104,熊本県,熊本市南区,32.7483,130.6908,震度5強
43105,熊本県,熊本市北区,32.8469,130.7139,震度5強
44201,大分県,大分市,33.2381,131.6125,震度6強
44202,大分県,別府市,33.2822,131.4914,震度6弱
44203,大分県,中津市,33.5983,131.1883,震度5弱
44204,大分県,日田市,33.3214,130.9408,震度4
44205,大分県,佐伯市,32.9603,131.8994,震度7
44206,大分県,臼杵市,33.1258,131.8058,震度7
44207,大分県,津久見市,33.0722,131.8694,震度7
44208,大分県,竹田市,32.9686,131.3919,震度6弱
44209,大分県,豊後高田市,33.5786,131.4422,震度5強
44210,大分県,杵築市,33.4181,131.6169,震度6弱
44211,大分県,宇佐市,33.5350,131.3503,震度5強
44212,大分県,豊後大野市,32.9814,131.5361,震度6強
44213,大分県,由布市,33.1783,131.4608,震度6弱
44214,大分県,国東市,33.5628,131.6853,震度6弱
44322,大分県,東国東郡姫島村,33.7258,131.6625,震度5強
44341,大分県,速見郡日出町,33.3689,131.5336,震度6弱
44461,大分県,玖珠郡九重町,33.2108,131.1611,震度5弱
44462,大分県,玖珠郡玖珠町,33.2847,131.1550,震度5弱
45201,宮崎県,宮崎市,31.9111,131.4239,震度7
45202,宮崎県,都城市,31.7194,131.0617,震度6強
45203,宮崎県,延岡市,32.5819,131.6647,震度7
45204,宮崎県,日南市,31.6014,131.3783,震度7
45205,宮崎県,小林市,31.9867,130.9856,震度6弱
45206,宮崎県,日向市,32.4272,131.6247,震度7
45207,宮崎県,串間市,31.4642,131.2333,震度7
45208,宮崎県,西都市,32.1097,131.4022,震度6強
45209,宮崎県,えびの市,32.0522,130.8122,震度5強
45341,宮崎県,北諸県郡三股町,31.7289,131.1328,震度6強
45361,宮崎県,西諸県郡高原町,31.9250,131.0028,震度6強
45382,宮崎県,児湯郡国富町,32.0008,131.3503,震度6強
45383,宮崎県,児湯郡綾町,32.0008,131.2503,震度6強
45384,宮崎県,児湯郡高鍋町,32.1286,131.5036,震度7
45385,宮崎県,児湯郡新富町,32.0683,131.4981,震度7
45389,宮崎県,児湯郡西米良村,32.2214,131.1389,震度6弱
45391,宮崎県,児湯郡木城町,32.1642,131.4658,震度6強
45392,宮崎県,児湯郡川南町,32.1972,131.5283,震度7
45393,宮崎県,児湯郡都農町,32.2575,131.5661,震度7
45401,宮崎県,東臼杵郡門川町,32.4772,131.6506,震度7
45402,宮崎県,東臼杵郡諸塚村,32.5317,131.3361,震度6弱
45403,宮崎県,東臼杵郡椎葉村,32.4742,131.1583,震度5強
45404,宮崎県,東臼杵郡美郷町,32.4278,131.4253,震度6強
45421,宮崎県,西臼杵郡高千穂町,32.7117,131.3086,震度5強
45422,宮崎県,西臼杵郡日之影町,32.6842,131.3853,震度6弱
45423,宮崎県,西臼杵郡五ヶ瀬町,32.6353,131.2008,震度5強
46201,鹿児島県,鹿児島市,31.5967,130.5572,震度6弱
46203,鹿児島県,鹿屋市,31.3783,130.8522,震度6強
46204,鹿児島県,枕崎市,31.2722,130.2972,震度5強
46206,鹿児島県,阿久根市,32.0189,130.1983,震度5弱
46208,鹿児島県,出水市,32.0833,130.3556,震度5強
46210,鹿児島県,指宿市,31.2519,130.6417,震度6弱
46213,鹿児島県,西之表市,30.7303,130.9986,震度6強
46214,鹿児島県,垂水市,31.4939,130.6983,震度6強
46215,鹿児島県,薩摩川内市,31.8139,130.3031,震度5強
46217,鹿児島県,日置市,31.6364,130.3703,震度5強
46218,鹿児島県,曽於市,31.6583,131.0189,震度6強
46219,鹿児島県,霧島市,31.7428,130.7631,震度6弱
46220,鹿児島県,イチキ串木野市,31.7167,130.2667,震度5強
46221,鹿児島県,南さつま市,31.4219,130.3228,震度5強
46222,鹿児島県,志布志市,31.4725,131.1008,震度7
46223,鹿児島県,奄美市,28.3789,129.4925,震度4
46224,鹿児島県,南九州市,31.3719,130.4131,震度6弱
46225,鹿児島県,伊佐市,32.0578,130.6128,震度5強
46303,鹿児島県,姶良郡湧水町,31.9214,130.6106,震度5強
46304,鹿児島県,姶良市,31.7289,130.6272,震度6弱
46392,鹿児島県,曽於郡大崎町,31.4328,131.0808,震度7
46468,鹿児島県,肝属郡東串良町,31.3717,130.9856,震度7
46482,鹿児島県,肝属郡錦江町,31.2581,130.8258,震度6強
46490,鹿児島県,肝属郡南大隅町,31.1128,130.7028,震度6強
46491,鹿児島県,肝属郡肝付町,31.3283,130.9575,震度7
46501,鹿児島県,熊毛郡中種子町,30.5058,130.9639,震度6弱
46502,鹿児島県,熊毛郡南種子町,30.3708,130.8986,震度6弱
46505,鹿児島県,熊毛郡屋久島町,30.3475,130.5122,震度5強
47201,沖縄県,那覇市,26.2125,127.6811,震度3
